"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Zfp263",-0.38,1.27,1.14,0.69,-0.92,-0.79,-1.01
"Cdyl2",0,1.2,0.9,0.85,-1.3,-0.84,-0.81
"Zyx",0.07,1.04,1.01,0.89,-1.22,-0.9,-0.9
"Slc25a17",0.15,1.14,0.94,0.81,-1.2,-0.94,-0.89
"Irf2",0.01,1.17,1.05,0.75,-0.97,-0.93,-1.07
"Ino80",-0.11,1.14,1.05,0.85,-1.04,-0.83,-1.05
"Ppp2r2a",-0.21,0.95,1.09,1.05,-1.05,-0.85,-0.98
"Mllt11",-0.06,1.01,0.88,1.12,-1,-0.88,-1.07
"Rasgef1b",-0.04,0.99,1,1.02,-0.96,-1,-1.02
"Kpna3",0,0.9,1.07,1.02,-1.05,-0.9,-1.05
"Nfkbid",-0.07,1.4,0.82,0.64,-1.4,-0.59,-0.8
"Elf4",-0.35,1.14,0.89,1.02,-1.37,-0.71,-0.61
"Psmc2",-0.05,1.16,0.74,0.98,-1.49,-0.82,-0.52
"Hvcn1",0,1.19,0.78,0.89,-1.5,-0.64,-0.72
"Gss",0.06,1.06,0.78,1.03,-1.45,-0.75,-0.74
"Pcmt1",0.03,1.03,0.84,1.03,-1.42,-0.74,-0.77
"Ppp1r15a",0.02,1.18,1.04,0.66,-1.23,-1.14,-0.52
"Zfand5",-0.24,1.36,1.07,0.51,-1.15,-1.04,-0.52
"Limd1",-0.22,1.3,0.97,0.73,-1.18,-1.05,-0.54
"Tmem171",-0.18,0.93,1.28,0.74,-1.38,-0.82,-0.58
"Acvr1",-0.18,0.98,1.26,0.76,-1.27,-0.91,-0.64
"Snx2",-0.22,1.03,1.24,0.74,-1.29,-0.9,-0.58
"Eif1a",-0.21,0.91,0.97,1.1,-1.43,-0.75,-0.59
"Phlpp1",-0.17,0.86,1.14,0.94,-1.47,-0.78,-0.53
"Rab10",-0.16,0.89,1.06,0.99,-1.5,-0.66,-0.63
"Hivep1",-0.01,0.87,1.05,0.95,-1.45,-0.97,-0.44
"Slc16a10",-0.01,1.04,0.97,0.89,-1.45,-0.87,-0.57
"Ddx39a",0.06,0.98,1.02,0.86,-1.46,-0.87,-0.58
"Rars",-0.21,0.92,1.26,0.81,-1.36,-0.62,-0.79
"Abhd17c",-0.13,1.02,1.03,0.98,-1.26,-0.71,-0.92
"Usp47",-0.16,0.94,1.09,0.96,-1.38,-0.67,-0.78
"Txnl1",-0.09,0.92,1.09,0.97,-1.29,-0.94,-0.67
"Phc2",-0.17,1,1.07,0.97,-1.16,-1.01,-0.7
"Cav2",-0.35,0.99,1.02,1.1,-1.1,-0.94,-0.73
"Eif1",-0.28,0.89,1.22,0.97,-1.12,-0.99,-0.67
"Pmp22",0.05,0.09,0.99,1.26,-1.76,-0.58,-0.04
"Htra1",-0.2,0.29,1.17,1.38,-1.18,-1.01,-0.43
"Rhoh",0.08,0.6,1.06,1.21,-1.24,-1.02,-0.69
"Rras2",0.29,0.32,1.07,1.23,-1.35,-1.04,-0.51
"Rufy3",-0.13,0.53,1.39,1.01,-1.23,-0.83,-0.73
"Arl4a",0.14,0.29,1.18,1.14,-1.57,-0.48,-0.7
"Rgs1",-0.02,0.41,1.37,0.85,-1.66,-0.53,-0.43
"Tgif1",0,0.73,1.25,0.84,-1.54,-0.71,-0.57
"Acss1",-0.23,0.6,1.27,0.97,-1.57,-0.65,-0.4
"E130102H24Rik",-0.57,0.77,0.84,1.45,-1.19,-0.72,-0.58
"Dennd1b",-0.48,0.7,1,1.37,-1.2,-0.73,-0.65
"Macir",-0.35,0.8,1.13,1.14,-1.17,-0.64,-0.92
"Tsc22d1",-0.41,0.96,0.96,1.22,-0.95,-0.79,-0.99
"Asns",-0.32,0.95,0.96,1.19,-1.15,-0.74,-0.89
"Clcn5",0.02,1.07,0.38,1.3,-1.46,-0.48,-0.83
"Usp16",-0.01,0.88,0.67,1.2,-1.49,-0.22,-1.03
"Phtf2",0.29,0.65,0.68,1.38,-1.28,-0.86,-0.86
"Cyld",0.12,0.67,0.9,1.3,-1.23,-0.83,-0.93
"2210406H18Rik",-0.07,0.75,0.85,1.37,-1.06,-0.86,-0.98
"Plk2",-0.01,0.83,0.94,1.21,-1.11,-0.86,-0.99
"Otud4",-0.34,0.83,1.12,1.08,-1.34,-0.87,-0.47
"Atad1",-0.44,0.79,1.1,1.13,-1.38,-0.8,-0.4
"Sema4d",-0.35,1.03,1.02,0.82,-1.6,-0.69,-0.23
"Rhoc",-0.36,0.92,1.06,0.87,-1.56,-0.83,-0.11
"Ms4a7",-0.45,1.03,1.17,0.78,-1.42,-0.8,-0.32
"Ptma",-0.54,0.97,1.1,0.93,-1.47,-0.61,-0.39
"Mark4",-0.1,0.88,1.3,0.46,-1.74,-0.4,-0.39
"Nckap1l",-0.64,0.94,1.09,0.83,-1.63,-0.23,-0.37
"Plxna1",-0.1,0.96,0.87,0.89,-1.77,-0.52,-0.34
"Mapre2",-0.21,0.86,1.04,0.78,-1.79,-0.56,-0.12
"St3gal5",-0.15,0.93,1.04,0.7,-1.81,-0.46,-0.26
"Cd180",-0.19,0.84,1.05,0.76,-1.83,-0.43,-0.19
"Crk",-0.36,0.74,1.07,1.02,-1.68,-0.31,-0.48
"Trim35",-0.16,0.69,1.08,0.8,-1.88,-0.12,-0.41
"Smarca4",-0.52,1.12,1.12,0.7,-1.45,-0.22,-0.75
"Ptpn23",-0.3,1.22,0.97,0.67,-1.56,-0.27,-0.73
"Tpm3",-0.47,1.15,0.98,0.73,-1.61,-0.25,-0.53
"E2f8",-0.42,1.13,1.03,0.86,-1.44,-0.51,-0.64
"Itprid2",-0.47,1.01,1.09,0.91,-1.45,-0.46,-0.63
"Itpkb",-0.43,1.07,1.18,0.77,-1.38,-0.42,-0.78
"Pacs2",-0.33,1.2,1.08,0.73,-1.38,-0.56,-0.74
"Itgal",-0.19,1.35,0.76,0.47,-1.78,-0.3,-0.31
"A530064D06Rik",-0.31,1.06,0.85,0.86,-1.75,-0.3,-0.42
"Rps6kc1",-0.32,1.23,0.85,0.8,-1.6,-0.44,-0.52
"Dld",0.94,0.43,0.91,0.48,-1.7,-0.08,-0.98
"Dnajc21",0.74,0.3,1.07,0.77,-1.71,-0.5,-0.68
"Mpp1",0.87,0.34,0.93,0.7,-1.78,-0.42,-0.64
"Vhl",1.03,0.31,0.88,0.74,-1.59,-0.54,-0.83
"Sfr1",1.15,0.27,0.92,0.58,-1.61,-0.61,-0.69
"Cd164",0.88,0.49,0.67,0.83,-1.81,-0.41,-0.65
"Esd",0.86,0.31,0.71,0.93,-1.82,-0.4,-0.57
"Kri1",0.7,0.48,0.72,1.06,-1.63,-0.5,-0.84
"Ifi207",0.92,0.4,0.65,0.9,-1.69,-0.27,-0.9
"Pmpcb",0.86,0.41,0.72,0.94,-1.69,-0.41,-0.82
"Cct8",0.62,0.48,0.86,0.8,-1.86,-0.19,-0.71
"Dhx15",0.54,0.55,0.81,0.81,-1.94,-0.29,-0.47
"Gna13",0.65,0.51,0.87,0.77,-1.87,-0.35,-0.58
"Alcam",0.55,0.53,0.91,0.78,-1.89,-0.35,-0.54
"Atg3",0.55,0.52,0.89,0.83,-1.88,-0.42,-0.5
"Dcaf13",0.44,0.41,1.05,0.87,-1.78,-0.22,-0.77
"Usp15",0.54,0.43,1.08,0.86,-1.65,-0.41,-0.85
"Acap2",0.45,0.61,0.95,0.87,-1.78,-0.5,-0.59
"Slc35a3",0.51,0.61,1.05,0.72,-1.75,-0.53,-0.62
"Mier1",0.64,0.56,0.95,0.72,-1.82,-0.47,-0.59
"Cmtm6",0.53,0.64,0.86,0.78,-1.86,-0.33,-0.62
"Msn",0.55,0.52,0.93,0.84,-1.81,-0.37,-0.66
"Tank",1.01,0.4,0.85,0.77,-1.47,-0.55,-1.01
"Tent5a",0.97,0.36,0.79,0.94,-1.43,-0.61,-1.01
"Ms4a6d",1.15,0.26,0.74,0.88,-1.35,-0.68,-1
"Slc39a2",1.13,0.23,0.69,0.93,-1.34,-0.52,-1.12
"Eif4e",0.92,-0.09,0.94,1.06,-1.46,-0.52,-0.85
"Rest",0.94,0.13,0.69,1.08,-1.42,-0.25,-1.17
"Mex3c",0.37,0.23,1.25,1.04,-1.4,-0.5,-0.98
"Gpbp1",0.53,0.02,1.23,1,-1.41,-0.33,-1.05
"Mtus1",0.46,0.46,1.1,1,-1.4,-0.6,-1.02
"Trim36",0.54,0.49,1.02,0.94,-1.53,-0.45,-1
"Abhd17b",0.54,0.49,0.95,1.04,-1.51,-0.56,-0.94
"Kansl3",0.51,0.61,1.19,0.79,-1.34,-0.77,-0.98
"Tmod3",0.69,0.5,1.04,0.91,-1.28,-0.92,-0.94
"Slc9a1",0.59,0.53,1.09,0.86,-1.44,-0.89,-0.75
"Rab1a",0.71,0.5,1,0.85,-1.51,-0.64,-0.91
"Pcbp1",0.87,0.46,0.91,0.85,-1.45,-0.68,-0.96
"Eeig2",0.66,0.68,0.94,0.85,-1.42,-0.78,-0.93
"Tor1aip2",0.59,0.74,0.94,0.86,-1.41,-0.78,-0.94
"Snx10",0.55,0.72,0.97,0.88,-1.43,-0.73,-0.95
"Rbm7",0.56,0.62,0.94,0.98,-1.46,-0.79,-0.84
"Tmbim4",0.63,0.7,0.88,0.89,-1.51,-0.81,-0.79
"Stxbp3",0.65,0.69,0.93,0.8,-1.55,-0.63,-0.89
"Ankrd17",0.77,0.62,0.96,0.75,-1.48,-0.78,-0.85
"Tab2",0.79,0.63,0.86,0.85,-1.42,-0.74,-0.98
"Zfp207",0.75,0.71,0.86,0.81,-1.45,-0.77,-0.91
"AB124611",0.96,0.41,1.15,0.45,-1.41,-0.49,-1.08
"Hnrnpd",1.02,0.52,1.01,0.54,-1.35,-0.71,-1.03
"Apaf1",1.04,0.37,1.05,0.6,-1.26,-0.66,-1.14
"Cask",0.82,0.23,1.22,0.79,-1.19,-0.86,-1.01
"Armc7",0.6,0.41,1.37,0.64,-1.24,-0.76,-1.03
"Mtfr2",0.46,1.06,0.72,0.9,-1.14,-1.09,-0.92
"Rela",0.4,1.06,0.81,0.86,-1.17,-1.11,-0.84
"Csnk1a1",0.38,1.04,0.84,0.89,-1.15,-1.04,-0.94
"Traf2",0.31,1.06,0.86,0.86,-1.29,-1,-0.8
"Vamp8",0.21,1.11,0.83,0.92,-1.21,-0.95,-0.91
"Zfp513",0.26,1.25,0.63,0.87,-1.32,-0.72,-0.97
"Slc30a6",0.49,1.08,0.5,1,-1.37,-0.83,-0.87
"Usp42",0.38,0.99,0.9,0.85,-1.29,-0.82,-1
"Cptp",0.34,1.15,0.8,0.81,-1.19,-0.85,-1.06
"Vasp",0.36,1.06,0.94,0.75,-1.16,-0.83,-1.12
"Tcof1",0.43,1.05,0.88,0.77,-1.24,-0.81,-1.08
"Sbds",0.4,0.89,0.97,0.88,-1.17,-0.93,-1.04
"Rnf115",0.45,0.84,0.91,0.95,-1.18,-0.86,-1.1
"Cxcl1",0.6,0.93,0.83,0.8,-1.14,-0.84,-1.19
"Tnf",0.53,0.91,0.89,0.84,-1.14,-0.9,-1.14
"Cmpk2",0.6,0.84,0.89,0.84,-1.15,-0.86,-1.17
"Nfkbib",0.62,0.88,0.87,0.82,-1.11,-0.93,-1.15
"Mocs1",0.61,0.99,0.74,0.84,-1.16,-0.94,-1.09
"Psme4",0.51,0.98,0.8,0.87,-1.19,-0.85,-1.12
"Traf5",0.74,1.01,0.57,0.82,-1.36,-0.86,-0.91
"Dync1h1",0.71,0.91,0.7,0.85,-1.33,-0.81,-1.03
"Slc7a11",0.79,0.88,0.61,0.88,-1.32,-0.84,-1.01
"Otud5",0.83,0.91,0.65,0.77,-1.34,-0.82,-1
"Zcchc2",0.71,0.76,0.88,0.81,-1.34,-0.81,-1.01
"Cxcl2",0.66,0.83,0.86,0.79,-1.42,-0.71,-1.01
"Amn1",0.73,0.79,0.88,0.73,-1.43,-0.74,-0.96
"Septin11",0.69,0.9,0.75,0.8,-1.3,-0.7,-1.15
"Riok3",0.72,0.99,0.8,0.65,-1.28,-0.81,-1.07
"Lgals3bp",0.64,0.85,0.96,0.68,-1.43,-0.89,-0.81
"Hsd17b12",0.63,0.83,0.93,0.75,-1.42,-0.89,-0.82
"Plpp3",0.68,0.91,0.82,0.73,-1.43,-0.88,-0.84
"Anxa7",0.71,0.87,0.84,0.72,-1.47,-0.84,-0.82
"Rtcb",0.67,0.79,0.98,0.69,-1.42,-0.75,-0.96
"Sec24b",0.57,0.79,0.97,0.76,-1.51,-0.73,-0.85
"Tmco3",0.55,0.86,0.92,0.79,-1.43,-0.76,-0.93
"Sptlc2",0.52,0.83,0.82,0.91,-1.5,-0.87,-0.72
"Marchf5",0.64,0.79,0.86,0.85,-1.45,-0.8,-0.88
"Nrp2",0.58,0.88,0.83,0.83,-1.46,-0.79,-0.88
"Dph3",0.67,0.86,0.72,0.88,-1.45,-0.88,-0.8
"Ep400",0.64,0.91,0.78,0.79,-1.47,-0.82,-0.83
"Lgals8",0.65,0.88,0.8,0.81,-1.4,-0.91,-0.84
"Sqstm1",0.51,1.06,0.88,0.64,-1.44,-0.82,-0.82
"Arglu1",0.63,1.06,0.76,0.66,-1.41,-0.91,-0.8
"Sde2",0.64,0.98,0.86,0.65,-1.4,-0.9,-0.84
"Endod1",0.56,1.01,0.7,0.86,-1.36,-0.92,-0.86
"Gpsm2",0.51,1.03,0.8,0.77,-1.42,-0.87,-0.83
"Chpf2",0.46,1.07,0.76,0.78,-1.47,-0.75,-0.86
"Lrch1",0.28,0.97,1.08,0.76,-1.17,-0.86,-1.07
"Sgk3",0.37,1.01,1.11,0.61,-1.11,-0.94,-1.05
"Fzd5",0.42,0.91,1.21,0.52,-1.3,-0.81,-0.95
"Bcl9",0.3,1.06,1.05,0.67,-1.29,-0.81,-0.97
"Jarid2",0.37,1.1,1.11,0.48,-1.22,-0.8,-1.04
"Adap2",0.24,0.99,1.14,0.69,-1.11,-1.12,-0.83
"Igf2bp2",0.42,1,1.16,0.51,-1.15,-1.09,-0.84
"Slc7a1",0.34,1.04,0.98,0.67,-1.42,-0.98,-0.65
"Rnaseh1",0.45,1,0.9,0.75,-1.37,-1.02,-0.71
"Fam53c",0.49,0.92,0.97,0.7,-1.39,-1.05,-0.66
"Kif5b",0.39,1.09,0.86,0.76,-1.19,-1.15,-0.76
"Irak2",0.32,1.1,0.94,0.71,-1.31,-1.03,-0.74
"Lsm14a",0.3,1.07,0.9,0.8,-1.3,-1.03,-0.74
"Kdm7a",0.47,1.28,0.87,0.42,-1.18,-0.67,-1.18
"Asb6",0.52,1.11,0.96,0.48,-1.36,-0.71,-1
"Slc6a4",0.51,1.13,0.87,0.6,-1.32,-0.85,-0.95
"Raf1",0.55,1.1,0.89,0.58,-1.29,-0.86,-0.97
"Uba1",0.69,1.14,0.77,0.48,-1.39,-0.72,-0.96
"Snx27",0.72,1.15,0.83,0.4,-1.3,-0.9,-0.9
"Mitf",0.34,1.42,0.82,0.4,-1.14,-0.99,-0.86
"Dhx38",0.61,1.23,0.71,0.57,-1.2,-1.01,-0.91
"Trpm4",0.44,1.32,0.56,0.74,-1.17,-1.13,-0.76
"Prkcd",0.49,1.27,0.67,0.64,-1.22,-1.12,-0.74
"Cd200",0.06,0.66,1.06,1.05,-1.54,-0.39,-0.91
"Ifrd1",0.06,0.77,0.97,1.06,-1.4,-0.35,-1.12
"Ppp1cb",0.24,0.5,1.11,1.15,-1.27,-0.78,-0.96
"Rbm12b2",0.24,0.76,0.87,1.17,-1.21,-0.71,-1.13
"Tifa",0.25,0.6,1.03,1.12,-1.23,-0.59,-1.18
"Dr1",0.37,0.66,1.04,0.97,-1.36,-0.57,-1.11
"Mfsd14b",0.37,0.62,0.93,1.11,-1.33,-0.54,-1.16
"Ranbp1",0.09,0.84,1.14,0.92,-1.27,-0.98,-0.74
"Snn",0.03,0.91,1.13,0.91,-1.29,-0.84,-0.84
"Rap1b",0.05,0.8,1.1,1,-1.37,-0.8,-0.79
"Mafk",0.16,0.91,1.02,0.95,-1.22,-0.73,-1.1
"Arid4a",0.17,0.87,1.11,0.87,-1.34,-0.71,-0.97
"Hnrnpk",0.05,0.84,1.06,1.01,-1.33,-0.69,-0.94
"Fmr1",0.21,0.73,1.18,0.9,-1.34,-0.77,-0.91
"Capza2",0.32,0.76,1.14,0.82,-1.39,-0.7,-0.95
"Abhd16a",0.33,0.86,1.11,0.8,-1.28,-0.86,-0.95
"Igsf8",0.22,0.97,1.1,0.76,-1.31,-0.89,-0.85
"Pkp4",0.29,0.88,1.09,0.81,-1.36,-0.89,-0.81
"Klf6",0.4,0.66,0.96,1.01,-1.51,-0.6,-0.92
"Rnf14",0.36,0.81,0.94,0.9,-1.59,-0.67,-0.75
"Bcl10",0.38,0.79,1.01,0.88,-1.48,-0.71,-0.86
"Sfpq",0.14,0.71,1.06,1.03,-1.49,-0.67,-0.78
"Mtpn",0.26,0.76,1.01,1.03,-1.36,-0.81,-0.89
"Krcc1",0.31,0.72,0.99,1.05,-1.35,-0.82,-0.91
"Ampd3",0.41,0.95,0.89,0.8,-1.53,-0.78,-0.75
"Tor3a",0.44,0.88,0.89,0.85,-1.53,-0.81,-0.72
"Urgcp",0.33,0.91,0.92,0.91,-1.46,-0.85,-0.76
"Slc3a2",0.32,0.88,0.96,0.91,-1.41,-0.85,-0.81
"Eif6",0.44,0.97,0.92,0.78,-1.4,-0.85,-0.85
"Srgap2",0.39,0.96,0.96,0.76,-1.45,-0.79,-0.83
"Man2a1",0.54,0.86,0.83,0.9,-1.39,-0.75,-0.98
"Abcc5",0.47,0.91,0.8,0.94,-1.39,-0.72,-1
"Bltp1",0.34,0.86,0.91,0.98,-1.32,-0.77,-1.01
"Mmadhc",0.33,0.94,0.78,1.05,-1.32,-0.81,-0.96
"Zdhhc21",0.71,0.79,1.03,0.5,-1.15,-0.45,-1.43
"Tfam",0.75,1.09,0.58,0.62,-1.28,-0.47,-1.29
"Luc7l",0.83,1.04,0.64,0.6,-1.32,-0.64,-1.14
"Orc4",0.31,0.96,0.74,0.94,-1.23,-0.33,-1.39
"Dennd2a",0.15,1.05,0.82,0.87,-1.24,-0.29,-1.35
"Clec5a",0.41,1,0.8,0.82,-1.51,-0.56,-0.96
"Hmox1",0.41,0.93,0.91,0.81,-1.44,-0.6,-1.02
"Tapt1",0.5,0.91,0.94,0.75,-1.39,-0.61,-1.09
"Ldlr",0.51,1,0.89,0.68,-1.25,-0.57,-1.26
"Sik3",0.6,0.98,0.84,0.6,-1.49,-0.45,-1.09
"Nup98",0.67,0.97,0.78,0.64,-1.42,-0.46,-1.17
"Ell2",0.91,0.73,0.8,0.67,-1.46,-0.62,-1.03
"Cybb",0.86,0.65,0.74,0.8,-1.61,-0.62,-0.82
"Syncrip",0.85,0.74,0.66,0.78,-1.59,-0.5,-0.95
"Kdm5c",0.92,0.74,0.62,0.8,-1.44,-0.52,-1.11
"Sart3",0.87,0.88,0.5,0.78,-1.52,-0.46,-1.05
"Vcl",0.62,0.74,0.63,0.98,-1.51,-0.33,-1.15
"Mrpl46",0.65,0.71,0.79,0.89,-1.45,-0.43,-1.17
"Tcerg1",0.55,0.64,0.85,0.83,-1.66,-0.15,-1.05
"Ikbkg",0.44,0.86,0.88,0.58,-1.74,-0.07,-0.96
"Tox4",0.6,0.99,0.84,0.46,-1.46,-0.16,-1.26
"Rwdd4a",0.77,0.9,0.89,0.38,-1.6,-0.35,-0.98
"Ankfy1",0.55,0.93,0.89,0.64,-1.58,-0.49,-0.94
"Aebp2",0.64,0.82,0.86,0.64,-1.66,-0.37,-0.94
"Dbr1",0.63,0.87,0.8,0.69,-1.64,-0.43,-0.92
"Il1b",1.21,0.37,0.57,0.92,-1,-0.84,-1.23
"Fnbp1l",1.23,0.45,0.48,0.88,-0.84,-0.84,-1.36
"Parp11",1,0.68,0.75,0.75,-0.93,-0.98,-1.27
"Car2",1.08,0.56,0.68,0.83,-0.9,-0.94,-1.3
"Filip1l",0.99,0.55,0.73,0.88,-0.88,-0.96,-1.31
"Lacc1",0.99,0.61,0.73,0.84,-0.88,-1.02,-1.26
"Olr1",1.13,0.58,0.61,0.76,-0.8,-0.81,-1.46
"Osbpl3",1.08,0.65,0.71,0.68,-0.79,-0.91,-1.41
"Gm10134",1.03,0.28,0.77,1,-0.84,-0.94,-1.29
"Mndal",1.06,0.35,0.81,0.89,-1.02,-0.84,-1.25
"Msr1",1.05,0.31,0.85,0.9,-1.04,-0.93,-1.15
"Mrpl39",0.74,0.48,0.73,1.16,-0.84,-1.03,-1.25
"Trim25",0.75,0.46,0.73,1.19,-1.08,-0.9,-1.15
"Ggps1",1.01,0.54,0.28,1.1,-1.07,-0.43,-1.44
"Pik3r6",0.99,0.76,0.45,0.76,-1.08,-0.34,-1.54
"Isca2",1.06,0.34,0.86,0.71,-1.14,-0.37,-1.45
"Rel",0.88,0.3,1.07,0.76,-1.13,-0.51,-1.37
"Stk19",0.9,0.49,1,0.66,-1.18,-0.5,-1.37
"Mis12",1.2,0.46,0.66,0.65,-0.99,-0.44,-1.52
"Gmfb",0.98,0.3,0.67,0.89,-1.05,-0.19,-1.61
"Ttc39b",1.08,0.84,0.53,0.68,-0.94,-0.86,-1.33
"Trmt1l",1.01,0.93,0.6,0.62,-1.04,-0.9,-1.22
"Casp8",1.11,0.68,0.67,0.64,-1.3,-0.68,-1.14
"Ago3",1.05,0.91,0.65,0.49,-1.31,-0.7,-1.09
"U2surp",1.03,0.49,0.63,0.94,-1.15,-0.68,-1.27
"Snrpd1",1.05,0.33,0.69,0.98,-1.22,-0.6,-1.23
"Ak6",1.08,0.61,0.43,0.99,-1.2,-0.82,-1.09
"Psmd6",0.97,0.57,0.63,0.95,-1.32,-0.74,-1.06
"Xpnpep1",0.95,0.71,0.5,0.95,-1.36,-0.68,-1.06
"Ptx3",0.91,0.72,0.81,0.76,-1.06,-0.92,-1.21
"Slc25a22",0.98,0.66,0.78,0.76,-1.01,-0.97,-1.2
"Tnfaip3",1.04,0.67,0.79,0.65,-1.13,-0.79,-1.23
"Magohb",1.03,0.52,0.92,0.68,-1.05,-0.88,-1.22
"Rnf149",1.12,0.6,0.72,0.73,-1.16,-0.92,-1.08
"Metap1",1.15,0.6,0.79,0.6,-1.24,-0.83,-1.06
"P4ha1",1.04,0.64,0.8,0.69,-1.25,-0.84,-1.06
"Kmt2e",1.05,0.55,0.88,0.65,-1.26,-0.82,-1.06
"Pttg1",1.05,0.59,0.88,0.66,-1.13,-1.03,-1.01
"Ppp1r15b",0.97,0.62,0.96,0.61,-1.19,-0.93,-1.05
"P2ry14",1.06,0.43,0.88,0.76,-1.23,-0.86,-1.05
"Fmnl2",1,0.46,0.93,0.75,-1.21,-0.83,-1.1
"Slfn5",0.98,0.57,0.78,0.84,-1.2,-0.93,-1.04
"Stx3",0.89,0.59,0.87,0.82,-1.27,-0.9,-1
"Noct",0.9,0.58,0.89,0.75,-1.25,-0.64,-1.23
"Eif4e3",0.92,0.54,0.97,0.71,-1.33,-0.9,-0.92
"Ascc3",0.9,0.43,1.01,0.79,-1.28,-0.8,-1.05
"Mdm2",0.85,0.56,1.03,0.72,-1.25,-0.85,-1.06
"Mcmbp",0.75,0.7,1.16,0.55,-1.12,-1.01,-1.02
"Ppp1r2",0.73,0.85,1.12,0.38,-1.36,-0.72,-0.99
"Itpr1",0.74,0.92,1.03,0.46,-1.18,-0.89,-1.08
"Gk",0.87,0.98,0.98,0.27,-1.12,-0.83,-1.15
"Ube2k",0.82,0.7,0.86,0.77,-1.37,-1.03,-0.75
"Pfkp",0.92,0.66,0.78,0.82,-1.24,-1.03,-0.91
"Utp11",0.96,0.68,0.76,0.78,-1.23,-1.08,-0.87
"Vta1",0.78,0.7,0.94,0.77,-1.26,-0.87,-1.05
"Med13l",0.76,0.79,0.95,0.68,-1.29,-0.88,-1
"Gng12",0.79,0.76,0.81,0.79,-1.4,-0.86,-0.9
"Cd274",0.78,0.77,0.84,0.78,-1.33,-0.92,-0.93
"Clic4",0.73,0.78,0.86,0.8,-1.36,-0.91,-0.9
"Tnfrsf1b",0.89,0.77,0.78,0.73,-1.36,-0.91,-0.9
"Atp1b3",0.83,0.78,0.85,0.68,-1.42,-0.8,-0.93
"Itgb1",0.74,0.55,0.97,0.89,-1.3,-1.08,-0.77
"Mrpl32",0.61,0.64,0.95,0.95,-1.24,-1.13,-0.78
"Sin3b",0.59,0.64,1.01,0.92,-1.17,-1.16,-0.83
"Trip10",0.78,0.71,1.04,0.65,-1.13,-1.12,-0.92
"Psmc4",0.82,0.67,0.99,0.68,-1.04,-1.27,-0.86
"Samhd1",0.78,0.72,0.96,0.74,-1.14,-0.99,-1.06
"Gtf2b",0.74,0.61,1.01,0.82,-1.04,-1.06,-1.08
"Gch1",0.65,0.63,1.06,0.82,-1.09,-1.18,-0.9
"Sav1",0.66,0.69,0.91,0.93,-1.02,-1.13,-1.04
"Usb1",0.68,0.74,0.91,0.88,-1.11,-1.1,-0.99
"Lrp11",0.69,0.69,0.96,0.85,-1.11,-1.04,-1.04
"Peli1",0.61,0.77,0.95,0.86,-1.03,-1.06,-1.09
"Tlk2",0.67,0.75,0.95,0.82,-0.98,-1.05,-1.15
"Ptgs2",0.52,0.8,0.98,0.86,-1.07,-0.93,-1.17
"Gbp3",0.6,0.85,0.88,0.85,-1,-0.95,-1.23
"Casp7",0.62,0.84,0.93,0.79,-1.05,-0.92,-1.21
"Cd40",0.67,0.84,0.9,0.78,-0.92,-1,-1.27
"Pdpn",0.67,0.85,0.92,0.74,-0.93,-1.03,-1.23
"Mx1",0.7,0.82,0.85,0.82,-0.98,-0.98,-1.23
"Pml",0.7,0.9,0.82,0.77,-0.94,-1.01,-1.24
"Zc3hav1",0.49,0.92,0.88,0.87,-0.96,-0.99,-1.22
"Gm43814",0.56,0.95,0.92,0.74,-0.97,-1.01,-1.19
"Nlgn2",0.54,0.97,0.89,0.77,-1.01,-1,-1.16
"Csf1",0.73,0.73,0.74,0.98,-0.96,-1.09,-1.13
"Arrdc4",0.64,0.77,0.75,1.03,-0.99,-1.1,-1.09
"Tmem128",0.58,0.82,0.75,1.02,-0.95,-1.15,-1.08
"Ccrl2",0.51,0.86,0.94,0.87,-1.1,-1.03,-1.05
"Dcbld2",0.48,0.82,0.93,0.93,-1.13,-0.98,-1.06
"Aftph",0.58,0.83,0.89,0.88,-1.1,-1.01,-1.08
"Klf3",0.6,0.75,0.94,0.9,-1.11,-0.98,-1.09
"Kat2b",0.53,0.73,0.91,1,-1.1,-1.06,-1.01
"Ubxn2a",0.58,0.8,0.85,0.96,-1.02,-1.12,-1.04
"Prpf38b",0.56,0.85,0.87,0.9,-1.06,-1.12,-1.01
"Stat2",0.89,0.82,0.77,0.73,-1.06,-1.1,-1.05
"Znfx1",0.96,0.78,0.74,0.72,-1.04,-1.17,-0.98
"Plagl2",0.92,0.8,0.76,0.72,-1.09,-1.13,-0.98
"Kctd3",0.93,0.74,0.79,0.74,-1.16,-1.09,-0.94
"Stat1",0.84,0.78,0.84,0.75,-1.1,-1.12,-0.98
"Ifnar2",0.84,0.77,0.81,0.79,-1.11,-1.15,-0.94
"Epsti1",0.87,0.86,0.78,0.69,-1.17,-1,-1.02
"Mov10",0.76,0.88,0.8,0.76,-1.16,-1.03,-1.02
"Mapkapk2",0.82,0.86,0.75,0.77,-1.12,-1,-1.08
"Gbp2",0.8,0.72,0.84,0.83,-1.13,-1.03,-1.05
"Parp12",0.82,0.74,0.82,0.82,-1.12,-1.06,-1.03
"Ccl4",0.85,0.78,0.79,0.78,-1.08,-1.01,-1.12
